product_id,process_id,material_id,process_step,required_material_qty,standard_cycle_time
PRD0013,D,SKU0061,4,2,71.5
PRD0013,E,SKU0001,5,4,66.59
PRD0013,E,SKU0021,5,5,66.59
PRD0014,A,SKU0062,1,4,73.16
PRD0014,A,SKU0093,1,4,73.16
PRD0014,A,SKU0095,1,5,73.16
PRD0014,B,SKU0008,2,3,65.4
PRD0014,B,SKU0010,2,3,65.4
PRD0014,B,SKU0073,2,4,65.4
PRD0014,B,SKU0086,2,3,65.4
PRD0014,C,SKU0014,3,2,73.0
PRD0014,C,SKU0015,3,2,73.0
PRD0014,C,SKU0022,3,1,73.0
PRD0014,C,SKU0099,3,1,73.0
PRD0014,D,SKU0027,4,2,73.73
PRD0014,D,SKU0062,4,2,73.73
PRD0014,E,SKU0015,5,5,64.62
PRD0014,E,SKU0058,5,4,64.62
PRD0015,A,SKU0010,1,2,63.92
PRD0015,A,SKU0083,1,4,63.92
PRD0015,B,SKU0024,2,4,67.79
PRD0015,B,SKU0072,2,3,67.79
PRD0015,C,SKU0029,3,1,76.06
PRD0015,C,SKU0045,3,3,76.06
PRD0015,D,SKU0022,4,2,67.29
PRD0015,D,SKU0085,4,1,67.29
PRD0015,E,SKU0005,5,6,67.15
PRD0015,E,SKU0062,5,5,67.15
PRD0016,A,SKU0008,1,2,72.44
PRD0016,A,SKU0049,1,3,72.44
PRD0016,A,SKU0061,1,2,72.44
PRD0016,A,SKU0062,1,4,72.44
PRD0016,B,SKU0054,2,3,66.38
PRD0016,B,SKU0085,2,2,66.38
PRD0016,C,SKU0002,3,3,76.74
PRD0016,C,SKU0004,3,3,76.74
PRD0016,C,SKU0021,3,2,76.74
PRD0016,C,SKU0084,3,3,76.74
PRD0016,D,SKU0043,4,1,69.78
PRD0016,D,SKU0047,4,1,69.78
PRD0016,E,SKU0042,5,3,76.17
PRD0016,E,SKU0072,5,6,76.17
PRD0016,E,SKU0076,5,3,76.17
PRD0016,E,SKU0094,5,4,76.17
PRD0017,A,SKU0043,1,3,74.51
PRD0017,A,SKU0052,1,5,74.51
PRD0017,A,SKU0075,1,4,74.51
PRD0017,A,SKU0078,1,5,74.51
PRD0017,B,SKU0067,2,2,67.33
PRD0017,B,SKU0092,2,4,67.33
PRD0017,C,SKU0070,3,1,70.71
PRD0017,C,SKU0075,3,3,70.71
PRD0017,C,SKU0078,3,1,70.71
PRD0017,D,SKU0005,4,2,66.86
PRD0017,D,SKU0006,4,2,66.86
PRD0017,D,SKU0011,4,1,66.86
PRD0017,E,SKU0036,5,4,67.05
PRD0017,E,SKU0099,5,4,67.05
PRD0018,A,SKU0047,1,2,75.45
PRD0018,A,SKU0057,1,3,75.45
PRD0018,A,SKU0094,1,2,75.45
PRD0018,B,SKU0001,2,3,75.03
PRD0018,B,SKU0077,2,4,75.03
PRD0018,B,SKU0082,2,2,75.03
PRD0018,C,SKU0036,3,1,74.55
PRD0018,C,SKU0039,3,3,74.55
PRD0018,C,SKU0045,3,2,74.55
PRD0018,D,SKU0007,4,1,79.22
PRD0018,D,SKU0073,4,1,79.22
PRD0018,D,SKU0075,4,2,79.22
PRD0018,D,SKU0081,4,1,79.22
PRD0018,E,SKU0032,5,4,73.12
PRD0018,E,SKU0095,5,6,73.12
PRD0019,A,SKU0001,1,4,76.86
PRD0019,A,SKU0066,1,4,76.86
PRD0019,B,SKU0016,2,4,67.6
PRD0019,B,SKU0065,2,3,67.6
PRD0019,C,SKU0081,3,3,76.23
PRD0019,C,SKU0087,3,1,76.23
PRD0019,D,SKU0012,4,2,69.18
PRD0019,D,SKU0070,4,1,69.18
PRD0019,E,SKU0005,5,5,77.63
PRD0019,E,SKU0052,5,3,77.63
PRD0019,E,SKU0096,5,3,77.63
PRD0020,A,SKU0033,1,3,74.21
PRD0020,A,SKU0081,1,5,74.21
PRD0020,A,SKU0089,1,3,74.21
PRD0020,B,SKU0043,2,4,64.32
PRD0020,B,SKU0079,2,4,64.32
PRD0020,B,SKU0081,2,2,64.32
PRD0020,C,SKU0051,3,1,69.85
PRD0020,C,SKU0052,3,1,69.85
PRD0020,C,SKU0099,3,1,69.85
PRD0020,D,SKU0036,4,1,68.8
PRD0020,D,SKU0057,4,1,68.8
PRD0020,D,SKU0069,4,1,68.8
PRD0020,E,SKU0008,5,4,75.3
PRD0020,E,SKU0034,5,3,75.3
PRD0020,E,SKU0095,5,4,75.3
