lot_id,process_id,order_id,product_id,machine_id,total_work_time,setup_time,downtime
LOT000012,B,PORD000012,PRD0017,LATHE_01,63.61,17.72,15.77
LOT000012,C,PORD000012,PRD0017,DRILL_02,60.06,20.41,7.26
LOT000012,D,PORD000012,PRD0017,GRIND_02,48.69,18.23,2.71
LOT000012,E,PORD000012,PRD0017,ADD_01,46.5,17.51,1.21
LOT000013,A,PORD000013,PRD0012,MILL_03,51.65,17.5,5.72
LOT000013,B,PORD000013,PRD0012,LATHE_01,54.93,21.38,5.26
LOT000013,C,PORD000013,PRD0012,DRILL_01,50.75,19.2,3.56
LOT000013,D,PORD000013,PRD0012,GRIND_01,46.5,18.42,0.94
LOT000013,E,PORD000013,PRD0012,ADD_02,51.9,22.04,1.47
LOT000014,A,PORD000014,PRD0007,MILL_01,66.43,19.65,0.38
LOT000014,B,PORD000014,PRD0007,LATHE_04,64.6,15.45,5.01
LOT000014,C,PORD000014,PRD0007,DRILL_01,75.21,20.39,6.16
LOT000014,D,PORD000014,PRD0007,GRIND_02,74.92,15.27,9.4
LOT000014,E,PORD000014,PRD0007,ADD_02,80.04,20.73,12.17
LOT000015,A,PORD000015,PRD0012,MILL_03,74.42,16.96,0.81
LOT000015,B,PORD000015,PRD0012,LATHE_03,89.77,21.18,5.25
LOT000015,C,PORD000015,PRD0012,DRILL_02,73.98,15.23,2.82
LOT000015,D,PORD000015,PRD0012,GRIND_01,92.1,18.48,10.98
LOT000015,E,PORD000015,PRD0012,ADD_01,97.13,17.82,11.26
LOT000016,A,PORD000016,PRD0017,MILL_04,80.91,16.28,4.64
LOT000016,B,PORD000016,PRD0017,LATHE_04,82.71,23.58,6.01
LOT000016,C,PORD000016,PRD0017,DRILL_01,75.84,18.78,4.97
LOT000016,D,PORD000016,PRD0017,GRIND_01,78.27,23.96,0.11
LOT000016,E,PORD000016,PRD0017,ADD_02,104.14,18.55,35.3
LOT000017,A,PORD000017,PRD0015,MILL_04,104.05,24.46,0.91
LOT000017,B,PORD000017,PRD0015,LATHE_02,101.92,15.58,3.53
LOT000017,C,PORD000017,PRD0015,DRILL_03,141.33,22.06,27.2
LOT000017,D,PORD000017,PRD0015,GRIND_01,93.33,16.01,7.01
LOT000017,E,PORD000017,PRD0015,ADD_02,104.12,23.92,7.7
LOT000018,A,PORD000018,PRD0008,MILL_01,146.39,18.71,7.58
LOT000018,B,PORD000018,PRD0008,LATHE_04,128.83,18.5,3.85
LOT000018,C,PORD000018,PRD0008,DRILL_03,137.37,19.24,12.78
LOT000018,D,PORD000018,PRD0008,GRIND_01,128.82,19.05,7.41
LOT000018,E,PORD000018,PRD0008,ADD_01,152.4,21.49,8.75
LOT000019,A,PORD000019,PRD0017,MILL_02,98.42,23.02,17.45
LOT000019,B,PORD000019,PRD0017,LATHE_04,84.29,20.28,9.25
LOT000019,C,PORD000019,PRD0017,DRILL_01,83.62,20.23,6.96
LOT000019,D,PORD000019,PRD0017,GRIND_01,87.42,21.97,7.37
LOT000019,E,PORD000019,PRD0017,ADD_02,108.38,24.5,28.67
LOT000020,A,PORD000020,PRD0008,MILL_04,60.01,21.47,1.84
LOT000020,B,PORD000020,PRD0008,LATHE_01,82.96,24.74,19.87
LOT000020,C,PORD000020,PRD0008,DRILL_01,56.1,19.11,2.71
LOT000020,D,PORD000020,PRD0008,GRIND_03,86.14,23.23,28.14
LOT000020,E,PORD000020,PRD0008,ADD_02,84.11,15.83,31.55
LOT000021,A,PORD000021,PRD0001,MILL_01,78.82,18.77,3.14
LOT000021,B,PORD000021,PRD0001,LATHE_01,75.04,23.38,3.32
LOT000021,C,PORD000021,PRD0001,DRILL_03,96.79,23.65,10.0
LOT000021,D,PORD000021,PRD0001,GRIND_01,80.52,20.85,7.57
LOT000021,E,PORD000021,PRD0001,ADD_01,83.88,19.51,14.31
LOT000022,A,PORD000022,PRD0001,MILL_04,114.69,21.18,0.91
LOT000022,B,PORD000022,PRD0001,LATHE_02,111.91,19.76,2.46
LOT000022,C,PORD000022,PRD0001,DRILL_01,117.99,15.88,5.9
LOT000022,D,PORD000022,PRD0001,GRIND_03,114.02,22.55,7.04
LOT000022,E,PORD000022,PRD0001,ADD_02,138.7,21.17,33.24
LOT000023,A,PORD000023,PRD0015,MILL_01,91.99,20.14,3.17
LOT000023,B,PORD000023,PRD0015,LATHE_03,101.47,21.98,3.67
LOT000023,C,PORD000023,PRD0015,DRILL_01,107.13,17.58,9.8
LOT000023,D,PORD000023,PRD0015,GRIND_01,91.67,17.09,3.42
LOT000023,E,PORD000023,PRD0015,ADD_01,90.76,16.28,2.08
LOT000024,A,PORD000024,PRD0008,MILL_04,96.52,19.12,16.76
LOT000024,B,PORD000024,PRD0008,LATHE_01,71.11,16.92,1.35
LOT000024,C,PORD000024,PRD0008,DRILL_01,72.58,15.32,5.34
LOT000024,D,PORD000024,PRD0008,GRIND_02,70.5,18.64,6.9
LOT000024,E,PORD000024,PRD0008,ADD_01,80.58,19.81,7.67
LOT000025,A,PORD000025,PRD0016,MILL_04,76.08,22.48,1.67
LOT000025,B,PORD000025,PRD0016,LATHE_02,72.45,17.36,4.25
LOT000025,C,PORD000025,PRD0016,DRILL_02,83.15,15.37,7.13
LOT000025,D,PORD000025,PRD0016,GRIND_02,81.03,22.5,8.67
LOT000025,E,PORD000025,PRD0016,ADD_01,73.95,17.42,5.66
LOT000026,A,PORD000026,PRD0017,MILL_02,79.8,18.27,7.12
LOT000026,B,PORD000026,PRD0017,LATHE_04,71.47,18.55,3.84
LOT000026,C,PORD000026,PRD0017,DRILL_02,72.33,20.87,4.32
LOT000026,D,PORD000026,PRD0017,GRIND_01,89.2,18.37,25.19
LOT000026,E,PORD000026,PRD0017,ADD_01,72.89,24.87,3.56
LOT000027,A,PORD000027,PRD0006,MILL_03,73.17,15.88,0.45
LOT000027,B,PORD000027,PRD0006,LATHE_03,75.66,20.25,7.86
LOT000027,C,PORD000027,PRD0006,DRILL_02,86.61,20.76,10.13
LOT000027,D,PORD000027,PRD0006,GRIND_02,82.2,16.71,9.29
LOT000027,E,PORD000027,PRD0006,ADD_02,82.94,19.77,3.08
LOT000028,A,PORD000028,PRD0004,MILL_04,27.32,20.08,0.92
LOT000028,B,PORD000028,PRD0004,LATHE_04,29.27,15.87,7.46
LOT000028,C,PORD000028,PRD0004,DRILL_03,22.28,15.52,1.34
LOT000028,D,PORD000028,PRD0004,GRIND_02,28.05,18.22,2.55
LOT000028,E,PORD000028,PRD0004,ADD_01,32.4,16.17,9.09
LOT000029,A,PORD000029,PRD0017,MILL_02,103.34,24.33,11.49
LOT000029,B,PORD000029,PRD0017,LATHE_01,87.3,22.41,6.73
LOT000029,C,PORD000029,PRD0017,DRILL_01,92.43,22.51,8.25
LOT000029,D,PORD000029,PRD0017,GRIND_03,91.71,21.65,3.59
LOT000029,E,PORD000029,PRD0017,ADD_01,99.46,21.83,10.71
LOT000030,A,PORD000030,PRD0006,MILL_03,93.61,19.39,2.84
LOT000030,B,PORD000030,PRD0006,LATHE_02,104.06,20.44,18.61
LOT000030,C,PORD000030,PRD0006,DRILL_02,90.63,18.33,6.94
LOT000030,D,PORD000030,PRD0006,GRIND_03,110.25,21.2,8.94
LOT000030,E,PORD000030,PRD0006,ADD_02,104.43,22.52,11.68
LOT000031,A,PORD000031,PRD0004,MILL_02,114.28,18.42,0.89
LOT000031,B,PORD000031,PRD0004,LATHE_04,113.72,21.04,4.32
LOT000031,C,PORD000031,PRD0004,DRILL_01,114.95,22.2,6.94
LOT000031,D,PORD000031,PRD0004,GRIND_03,128.88,20.99,9.59
LOT000031,E,PORD000031,PRD0004,ADD_02,124.09,19.01,14.21
LOT000032,A,PORD000032,PRD0013,MILL_02,86.08,16.01,5.81
LOT000032,B,PORD000032,PRD0013,LATHE_04,91.09,20.65,7.38
LOT000032,C,PORD000032,PRD0013,DRILL_02,80.87,22.71,0.69
LOT000032,D,PORD000032,PRD0013,GRIND_02,105.88,24.34,21.27
LOT000032,E,PORD000032,PRD0013,ADD_01,87.88,16.66,12.56
LOT000033,A,PORD000033,PRD0019,MILL_01,36.62,18.35,0.04
LOT000033,B,PORD000033,PRD0019,LATHE_03,59.29,19.15,23.69
LOT000033,C,PORD000033,PRD0019,DRILL_03,43.14,22.38,2.25
LOT000033,D,PORD000033,PRD0019,GRIND_03,34.58,17.48,1.66
LOT000033,E,PORD000033,PRD0019,ADD_01,45.36,18.62,9.48
LOT000034,A,PORD000034,PRD0017,MILL_01,114.4,24.61,3.32
LOT000034,B,PORD000034,PRD0017,LATHE_01,102.5,16.84,2.48
LOT000034,C,PORD000034,PRD0017,DRILL_03,116.08,17.1,15.13
LOT000034,D,PORD000034,PRD0017,GRIND_01,105.59,18.78,5.87
LOT000034,E,PORD000034,PRD0017,ADD_01,109.03,19.53,6.61
LOT000035,A,PORD000035,PRD0006,MILL_01,71.14,15.76,2.18
LOT000035,B,PORD000035,PRD0006,LATHE_02,69.89,19.09,1.25
LOT000035,C,PORD000035,PRD0006,DRILL_01,66.23,19.08,2.54
LOT000035,D,PORD000035,PRD0006,GRIND_03,71.58,15.2,8.0
LOT000035,E,PORD000035,PRD0006,ADD_01,88.54,20.57,12.08
LOT000036,A,PORD000036,PRD0014,MILL_04,80.87,18.97,1.64
LOT000036,B,PORD000036,PRD0014,LATHE_04,81.56,15.87,5.89
LOT000036,C,PORD000036,PRD0014,DRILL_01,98.29,23.76,7.04
LOT000036,D,PORD000036,PRD0014,GRIND_01,86.53,18.42,3.8
LOT000036,E,PORD000036,PRD0014,ADD_02,88.88,23.31,11.61
LOT000037,A,PORD000037,PRD0012,MILL_04,71.76,24.85,1.46
LOT000037,B,PORD000037,PRD0012,LATHE_01,67.9,17.69,5.07
LOT000037,C,PORD000037,PRD0012,DRILL_02,70.21,21.45,1.32
LOT000037,D,PORD000037,PRD0012,GRIND_02,69.98,17.72,9.14
LOT000037,E,PORD000037,PRD0012,ADD_02,73.02,19.98,6.08
LOT000038,A,PORD000038,PRD0012,MILL_01,85.27,15.11,7.2
LOT000038,B,PORD000038,PRD0012,LATHE_04,83.33,17.51,3.95
LOT000038,C,PORD000038,PRD0012,DRILL_01,76.31,19.19,5.19
LOT000038,D,PORD000038,PRD0012,GRIND_02,85.47,22.38,6.03
LOT000038,E,PORD000038,PRD0012,ADD_01,100.24,23.37,13.73
LOT000039,A,PORD000039,PRD0008,MILL_04,58.66,24.37,1.72
LOT000039,B,PORD000039,PRD0008,LATHE_04,61.93,16.62,6.77
LOT000039,C,PORD000039,PRD0008,DRILL_03,50.95,18.34,1.07
LOT000039,D,PORD000039,PRD0008,GRIND_01,56.55,19.13,5.98
LOT000039,E,PORD000039,PRD0008,ADD_01,68.55,23.19,10.42
LOT000040,A,PORD000040,PRD0002,MILL_03,134.8,18.15,7.7
LOT000040,B,PORD000040,PRD0002,LATHE_01,147.85,19.46,4.34
LOT000040,C,PORD000040,PRD0002,DRILL_03,146.08,23.07,6.92
LOT000040,D,PORD000040,PRD0002,GRIND_01,134.27,24.03,6.93
LOT000040,E,PORD000040,PRD0002,ADD_02,134.99,15.39,13.88
LOT000041,A,PORD000041,PRD0007,MILL_03,94.86,24.44,6.9
LOT000041,B,PORD000041,PRD0007,LATHE_02,85.36,20.22,5.2
LOT000041,C,PORD000041,PRD0007,DRILL_01,84.43,15.77,3.4
LOT000041,D,PORD000041,PRD0007,GRIND_03,92.77,18.15,7.91
LOT000041,E,PORD000041,PRD0007,ADD_02,94.34,20.2,13.15
LOT000042,A,PORD000042,PRD0003,MILL_02,83.16,15.21,16.99
LOT000042,B,PORD000042,PRD0003,LATHE_03,64.66,15.7,0.42
LOT000042,C,PORD000042,PRD0003,DRILL_02,88.78,19.8,8.74
LOT000042,D,PORD000042,PRD0003,GRIND_02,73.01,15.92,5.23
LOT000042,E,PORD000042,PRD0003,ADD_01,65.81,16.1,4.31
LOT000043,A,PORD000043,PRD0005,MILL_01,89.31,21.8,7.6
LOT000043,B,PORD000043,PRD0005,LATHE_03,103.16,20.89,23.03
LOT000043,C,PORD000043,PRD0005,DRILL_02,79.53,21.13,9.91
LOT000043,D,PORD000043,PRD0005,GRIND_01,78.11,21.5,5.13
LOT000043,E,PORD000043,PRD0005,ADD_02,85.56,18.84,14.36
LOT000044,A,PORD000044,PRD0005,MILL_02,117.69,24.69,23.77
LOT000044,B,PORD000044,PRD0005,LATHE_01,92.37,17.6,3.93
LOT000044,C,PORD000044,PRD0005,DRILL_03,82.7,23.16,2.24
LOT000044,D,PORD000044,PRD0005,GRIND_01,104.57,23.95,21.44
LOT000044,E,PORD000044,PRD0005,ADD_01,118.65,16.3,43.67
LOT000045,A,PORD000045,PRD0009,MILL_03,90.68,17.81,0.04
LOT000045,B,PORD000045,PRD0009,LATHE_04,93.34,19.96,1.76
LOT000045,C,PORD000045,PRD0009,DRILL_01,104.63,24.91,8.83
LOT000045,D,PORD000045,PRD0009,GRIND_03,94.42,23.25,6.78
LOT000045,E,PORD000045,PRD0009,ADD_01,94.75,22.34,13.02
LOT000046,A,PORD000046,PRD0016,MILL_01,81.96,23.37,5.44
LOT000046,B,PORD000046,PRD0016,LATHE_02,88.54,16.89,24.34
LOT000046,C,PORD000046,PRD0016,DRILL_03,84.22,23.26,3.35
LOT000046,D,PORD000046,PRD0016,GRIND_03,70.35,15.01,7.57
LOT000046,E,PORD000046,PRD0016,ADD_02,88.61,17.87,14.72
LOT000047,A,PORD000047,PRD0002,MILL_04,88.79,16.07,4.33
LOT000047,B,PORD000047,PRD0002,LATHE_03,99.33,18.92,6.03
LOT000047,C,PORD000047,PRD0002,DRILL_02,101.07,24.47,7.71
LOT000047,D,PORD000047,PRD0002,GRIND_02,92.54,18.46,0.46
LOT000047,E,PORD000047,PRD0002,ADD_02,101.22,21.76,9.71
LOT000048,A,PORD000048,PRD0012,MILL_01,123.81,15.22,3.91
LOT000048,B,PORD000048,PRD0012,LATHE_02,130.87,15.01,3.75
LOT000048,C,PORD000048,PRD0012,DRILL_03,127.28,19.51,7.95
LOT000048,D,PORD000048,PRD0012,GRIND_02,132.73,22.73,1.31
LOT000048,E,PORD000048,PRD0012,ADD_02,131.71,16.51,14.15
LOT000049,A,PORD000049,PRD0020,MILL_03,51.87,19.09,11.91
LOT000049,B,PORD000049,PRD0020,LATHE_04,47.21,23.68,4.5
LOT000049,C,PORD000049,PRD0020,DRILL_03,55.25,24.68,8.69
LOT000049,D,PORD000049,PRD0020,GRIND_03,41.35,19.54,0.18
LOT000049,E,PORD000049,PRD0020,ADD_02,72.5,15.33,33.5
LOT000050,A,PORD000050,PRD0014,MILL_01,64.37,21.07,4.47
LOT000050,B,PORD000050,PRD0014,LATHE_04,56.49,15.64,2.15
LOT000050,C,PORD000050,PRD0014,DRILL_03,71.78,24.84,4.65
LOT000050,D,PORD000050,PRD0014,GRIND_02,65.54,19.8,2.92
LOT000050,E,PORD000050,PRD0014,ADD_01,99.16,24.53,36.73
LOT000051,A,PORD000051,PRD0009,MILL_04,77.42,22.02,0.08
LOT000051,B,PORD000051,PRD0009,LATHE_02,89.61,20.34,9.4
LOT000051,C,PORD000051,PRD0009,DRILL_02,84.32,18.97,5.68
LOT000051,D,PORD000051,PRD0009,GRIND_02,86.19,23.21,6.7
LOT000051,E,PORD000051,PRD0009,ADD_01,82.62,22.06,14.04
LOT000052,A,PORD000052,PRD0009,MILL_04,60.37,23.71,6.41
LOT000052,B,PORD000052,PRD0009,LATHE_03,55.59,19.84,4.42
LOT000052,C,PORD000052,PRD0009,DRILL_02,57.58,19.52,5.26
LOT000052,D,PORD000052,PRD0009,GRIND_03,56.9,22.25,6.5
LOT000052,E,PORD000052,PRD0009,ADD_01,68.36,17.19,25.11
LOT000053,A,PORD000053,PRD0019,MILL_01,49.9,19.93,3.23
LOT000053,B,PORD000053,PRD0019,LATHE_02,45.6,15.31,3.7
LOT000053,C,PORD000053,PRD0019,DRILL_03,54.72,19.16,6.29
LOT000053,D,PORD000053,PRD0019,GRIND_02,59.35,24.88,8.67
LOT000053,E,PORD000053,PRD0019,ADD_02,53.44,15.29,9.09
LOT000054,A,PORD000054,PRD0004,MILL_03,102.24,17.77,7.3
LOT000054,B,PORD000054,PRD0004,LATHE_01,107.03,19.66,1.89
LOT000054,C,PORD000054,PRD0004,DRILL_02,99.79,16.8,9.71
LOT000054,D,PORD000054,PRD0004,GRIND_01,107.88,15.69,0.97
LOT000054,E,PORD000054,PRD0004,ADD_02,112.51,20.15,8.89
LOT000055,A,PORD000055,PRD0002,MILL_01,107.68,17.37,7.07
LOT000055,B,PORD000055,PRD0002,LATHE_04,120.01,20.2,6.63
LOT000055,C,PORD000055,PRD0002,DRILL_03,114.78,24.49,3.59
LOT000055,D,PORD000055,PRD0002,GRIND_03,125.23,22.36,4.75
LOT000055,E,PORD000055,PRD0002,ADD_02,143.67,19.46,31.74
LOT000056,A,PORD000056,PRD0020,MILL_02,108.36,15.57,7.49
LOT000056,B,PORD000056,PRD0020,LATHE_03,92.88,17.25,0.71
LOT000056,C,PORD000056,PRD0020,DRILL_03,121.1,15.42,9.87
LOT000056,D,PORD000056,PRD0020,GRIND_03,112.91,15.17,9.73
LOT000056,E,PORD000056,PRD0020,ADD_02,118.53,20.16,10.0
LOT000057,A,PORD000057,PRD0013,MILL_01,65.16,22.31,1.88
LOT000057,B,PORD000057,PRD0013,LATHE_03,66.92,21.93,7.56
LOT000057,C,PORD000057,PRD0013,DRILL_02,65.25,17.44,8.65
LOT000057,D,PORD000057,PRD0013,GRIND_03,67.77,24.31,6.77
LOT000057,E,PORD000057,PRD0013,ADD_02,67.01,23.27,8.66
LOT000058,A,PORD000058,PRD0002,MILL_04,95.28,15.48,14.92
LOT000058,B,PORD000058,PRD0002,LATHE_01,86.7,15.9,0.87
LOT000058,C,PORD000058,PRD0002,DRILL_02,93.43,18.27,8.08
LOT000058,D,PORD000058,PRD0002,GRIND_01,101.3,18.17,19.39
LOT000058,E,PORD000058,PRD0002,ADD_01,85.33,15.06,5.5
LOT000059,A,PORD000059,PRD0019,MILL_04,56.35,18.73,0.59
LOT000059,B,PORD000059,PRD0019,LATHE_02,57.63,21.43,4.0
LOT000059,C,PORD000059,PRD0019,DRILL_02,58.4,19.79,3.41
LOT000059,D,PORD000059,PRD0019,GRIND_02,57.07,20.27,4.77
LOT000059,E,PORD000059,PRD0019,ADD_01,70.77,23.13,14.33
LOT000060,A,PORD000060,PRD0011,MILL_04,42.34,21.47,12.14
LOT000060,B,PORD000060,PRD0011,LATHE_03,26.0,16.97,1.56
LOT000060,C,PORD000060,PRD0011,DRILL_01,33.0,17.85,8.03
LOT000060,D,PORD000060,PRD0011,GRIND_02,31.48,21.1,2.73
LOT000060,E,PORD000060,PRD0011,ADD_01,40.42,20.22,12.89
LOT000061,A,PORD000061,PRD0007,MILL_02,98.81,24.18,0.7
LOT000061,B,PORD000061,PRD0007,LATHE_04,96.41,15.43,7.61
LOT000061,C,PORD000061,PRD0007,DRILL_02,103.34,20.15,7.94
LOT000061,D,PORD000061,PRD0007,GRIND_02,129.56,18.61,29.25
LOT000061,E,PORD000061,PRD0007,ADD_01,106.59,22.81,12.34
LOT000062,A,PORD000062,PRD0010,MILL_02,65.55,22.67,3.39
LOT000062,B,PORD000062,PRD0010,LATHE_01,74.17,22.37,11.68
LOT000062,C,PORD000062,PRD0010,DRILL_01,65.73,21.42,5.47
LOT000062,D,PORD000062,PRD0010,GRIND_02,60.2,21.32,1.42
LOT000062,E,PORD000062,PRD0010,ADD_01,67.64,21.95,6.42
LOT000063,A,PORD000063,PRD0017,MILL_02,95.86,24.06,2.12
LOT000063,B,PORD000063,PRD0017,LATHE_04,78.31,16.92,1.81
LOT000063,C,PORD000063,PRD0017,DRILL_01,89.27,20.19,8.0
LOT000063,D,PORD000063,PRD0017,GRIND_01,82.23,17.71,6.8
LOT000063,E,PORD000063,PRD0017,ADD_02,96.14,18.33,14.91
LOT000064,A,PORD000064,PRD0017,MILL_02,103.42,19.46,4.64
LOT000064,B,PORD000064,PRD0017,LATHE_01,96.66,16.75,1.61
LOT000064,C,PORD000064,PRD0017,DRILL_02,97.81,19.23,0.01
LOT000064,D,PORD000064,PRD0017,GRIND_03,100.37,24.27,3.99
LOT000064,E,PORD000064,PRD0017,ADD_01,105.99,22.37,3.65
LOT000065,A,PORD000065,PRD0020,MILL_04,64.4,16.28,6.26
LOT000065,B,PORD000065,PRD0020,LATHE_02,53.01,16.18,2.73
LOT000065,C,PORD000065,PRD0020,DRILL_02,64.58,24.37,3.06
LOT000065,D,PORD000065,PRD0020,GRIND_03,77.82,24.42,14.04
LOT000065,E,PORD000065,PRD0020,ADD_01,90.38,24.92,21.26
LOT000066,A,PORD000066,PRD0010,MILL_02,90.97,21.28,4.26
LOT000066,B,PORD000066,PRD0010,LATHE_03,86.9,22.9,0.65
LOT000066,C,PORD000066,PRD0010,DRILL_02,87.73,16.54,9.57
LOT000066,D,PORD000066,PRD0010,GRIND_02,94.63,23.22,8.62
LOT000066,E,PORD000066,PRD0010,ADD_02,110.31,16.39,39.88
LOT000067,A,PORD000067,PRD0003,MILL_02,47.96,15.68,1.08
LOT000067,B,PORD000067,PRD0003,LATHE_04,62.3,22.77,4.75
LOT000067,C,PORD000067,PRD0003,DRILL_02,58.33,17.78,10.01
LOT000067,D,PORD000067,PRD0003,GRIND_02,54.01,21.5,0.61
LOT000067,E,PORD000067,PRD0003,ADD_02,57.89,17.12,11.31
LOT000068,A,PORD000068,PRD0015,MILL_03,60.35,17.39,0.97
LOT000068,B,PORD000068,PRD0015,LATHE_03,69.16,16.78,4.94
LOT000068,C,PORD000068,PRD0015,DRILL_01,72.52,17.33,1.74
LOT000068,D,PORD000068,PRD0015,GRIND_02,73.62,19.26,8.87
LOT000068,E,PORD000068,PRD0015,ADD_01,68.77,18.54,7.22
LOT000069,A,PORD000069,PRD0005,MILL_01,74.15,15.19,6.08
LOT000069,B,PORD000069,PRD0005,LATHE_03,87.41,21.19,6.67
LOT000069,C,PORD000069,PRD0005,DRILL_01,92.52,23.02,22.2
LOT000069,D,PORD000069,PRD0005,GRIND_03,74.66,19.54,0.98
LOT000069,E,PORD000069,PRD0005,ADD_02,85.64,23.65,9.78
LOT000070,A,PORD000070,PRD0020,MILL_02,78.39,18.92,10.26
LOT000070,B,PORD000070,PRD0020,LATHE_04,65.64,18.15,3.5
LOT000070,C,PORD000070,PRD0020,DRILL_02,85.33,24.3,7.81
LOT000070,D,PORD000070,PRD0020,GRIND_03,97.95,21.59,25.92
LOT000070,E,PORD000070,PRD0020,ADD_02,96.73,19.51,18.17
LOT000071,A,PORD000071,PRD0005,MILL_04,94.67,16.05,4.07
LOT000071,B,PORD000071,PRD0005,LATHE_03,104.5,17.97,6.2
LOT000071,C,PORD000071,PRD0005,DRILL_03,95.31,16.74,6.6
LOT000071,D,PORD000071,PRD0005,GRIND_02,94.82,15.21,9.68
LOT000071,E,PORD000071,PRD0005,ADD_02,112.24,17.28,35.02
LOT000072,A,PORD000072,PRD0004,MILL_04,102.66,22.75,4.24
LOT000072,B,PORD000072,PRD0004,LATHE_02,98.39,18.22,3.79
LOT000072,C,PORD000072,PRD0004,DRILL_01,110.5,20.82,8.12
LOT000072,D,PORD000072,PRD0004,GRIND_03,108.46,15.44,5.99
LOT000072,E,PORD000072,PRD0004,ADD_02,126.69,19.32,9.19
